OBJECTID,FID_CollegePoints_Buffer,school,longitude,latitude,zipcode,admission_rate_1996,admission_rate_1997,admission_rate_1998,admission_rate_1999,admission_rate_2000,admission_rate_2001,admission_rate_2002,admission_rate_2003,admission_rate_2004,admission_rate_2005,admission_rate_2006,admission_rate_2007,admission_rate_2008,admission_rate_2009,admission_rate_2010,admission_rate_2011,admission_rate_2012,admission_rate_2013,admission_rate_2014,admission_rate_2015,admission_rate_2016,undergrad_population_1996,undergrad_population_1997,undergrad_population_1998,undergrad_population_1999,undergrad_population_2000,undergrad_population_2001,undergrad_population_2002,undergrad_population_2003,undergrad_population_2004,undergrad_population_2005,undergrad_population_2006,undergrad_population_2007,undergrad_population_2008,undergrad_population_2009,undergrad_population_2010,undergrad_population_2011,undergrad_population_2012,undergrad_population_2013,undergrad_population_2014,undergrad_population_2015,undergrad_population_2016,Acre_Estimate,Radius_ft_,BUFF_DIST,ORIG_FID,FID_ZIP_Codes,OBJECTID_1,ZIP5,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
1,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.015780616,1.44202E-05
2,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,26,27,02120,17329493.55,28148.29991,0.017428177,1.16633E-05
3,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,28,29,02215,25198308,37861.73131,0.006143478,1.85596E-06
4,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,28,29,02215,25198308,37861.73131,0.004240089,8.15596E-07
5,6,Boston Baptist College,-71.1103,42.254037,2136,,,,,,0.7931,0.7619,0.8293,0.9756,0.8364,0.5789,0.9655,0.878,0.6,0.4474,0.5294,0.9787,0.8065,0.7391,0.9231,0.9286,93,110,115,110,,104,99,110,123,141,131,122,93,122,113,100,89,87,73,71,61,0.397680674,74.25683349,74.25683349,6,20,21,02136,128128953.3,65353.75783,0.004903036,1.839E-06
6,7,Bay State College,-71.076991,42.35176,2116,,,,,,,1,0.2172,0.8303,0.853,1,0.6716,0.7816,0.688,0.5758,0.7597,,0.5845,0.5041,,0.3859,740,755,581,761,,99,555,720,1092,737,772,354,745,753,1214,1225,1716,1196,1108,1064,884,5.763110098,282.6816651,282.6816651,7,23,24,02116,19117646.17,23262.91227,0.018476491,2.02327E-05
7,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,10,11,02119,44511498.52,37680.7021,0.001221629,4.60739E-08
8,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,26,27,02120,17329493.55,28148.29991,0.008666652,2.42057E-06
9,11,Fisher College,-71.074125,42.355253,2116,,,,,,,,,0.5019,0.6663,0.6522,0.5878,0.6166,0.5975,0.609,0.5891,0.639,0.6273,0.6557,0.7018,0.6849,2737,2327,2062,1426,,1272,1207,1305,1094,1073,1062,1201,1230,1557,1707,1581,1778,1733,1631,1608,1556,10.14411687,375.03889,375.03889,11,18,19,02114,12538634.21,27934.53142,0.013702441,5.16729E-06
10,11,Fisher College,-71.074125,42.355253,2116,,,,,,,,,0.5019,0.6663,0.6522,0.5878,0.6166,0.5975,0.609,0.5891,0.639,0.6273,0.6557,0.7018,0.6849,2737,2327,2062,1426,,1272,1207,1305,1094,1073,1062,1201,1230,1557,1707,1581,1778,1733,1631,1608,1556,10.14411687,375.03889,375.03889,11,19,20,02108,6162153.076,18485.04013,0.013865842,6.78152E-06
11,11,Fisher College,-71.074125,42.355253,2116,,,,,,,,,0.5019,0.6663,0.6522,0.5878,0.6166,0.5975,0.609,0.5891,0.639,0.6273,0.6557,0.7018,0.6849,2737,2327,2062,1426,,1272,1207,1305,1094,1073,1062,1201,1230,1557,1707,1581,1778,1733,1631,1608,1556,10.14411687,375.03889,375.03889,11,23,24,02116,19117646.17,23262.91227,0.023238644,1.5917E-05
12,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,3,4,02118,31161577.07,32353.40762,0.042717029,7.31955E-05
13,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,10,11,02119,44511498.52,37680.7021,0.030056924,1.44413E-05
14,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,11,12,02115,19771296.03,34806.58402,0.017875907,3.79226E-06
15,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,14,15,02199,1603177.364,5140.730822,0.003859291,6.73578E-07
16,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,23,24,02116,19117646.17,23262.91227,0.013669836,1.00484E-05
17,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,26,27,02120,17329493.55,28148.29991,0.036982642,3.93054E-05
